,Answer,Confidence,Class,0$,100$,"5,000$","7,000$","9,000$","9,800$","9,900$","10,000$",sum_prediction
0,"9,000$",0.6,0,0.25,0.25,0.25,0.05,0.05,0.05,0.05,0.05,1.0000000000000002
1,"7,000$",0.3,0,0.1,0.15,0.1,0.2,0.1,0.15,0.1,0.1,1.0
2,"10,000$",0.3,0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.55,1.0
3,100$,0.9,0,0.6,0.05,0.05,0.1,0.05,0.05,0.05,0.05,1.0000000000000002
4,100$,0.6,0,0.0,0.3,0.2,0.15,0.05,0.1,0.0,0.2,1.0
5,100$,0.5,0,0.0,0.5,0.3,0.1,0.05,0.05,0.0,0.0,1.0
6,"10,000$",0.7,0,0.1,0.0,0.0,0.0,0.0,0.05,0.3,0.55,1.0
7,0$,0.5,0,0.5,0.15,0.02,0.02,0.05,0.02,0.14,0.1,1.0000000000000002
8,"9,000$",0.6,0,0.05,0.1,0.1,0.1,0.2,0.15,0.15,0.15,1.0
9,"5,000$",0.3,0,0.1,0.2,0.35,0.15,0.05,0.0,0.0,0.15,1.0
10,100$,0.7,0,0.15,0.15,0.05,0.05,0.1,0.15,0.15,0.2,1.0
11,"9,900$",0.4,1,0.1,0.2,0.1,0.2,0.1,0.1,0.05,0.15,1.0
12,"7,000$",0.6,0,0.05,0.05,0.05,0.7,0.1,0.02,0.02,0.01,1.0
13,0$,1.0,0,0.6,0.25,0.15,0.0,0.0,0.0,0.0,0.0,1.0
14,"10,000$",0.8,0,0.1,0.1,0.1,0.1,0.1,0.15,0.2,0.15,1.0
15,"7,000$",0.4,0,0.1,0.1,0.05,0.15,0.15,0.25,0.1,0.1,1.0
16,"10,000$",0.8,0,0.0,0.1,0.05,0.0,0.0,0.05,0.0,0.8,1.0
17,100$,0.9,0,0.1,0.2,0.2,0.2,0.1,0.0,0.1,0.1,0.9999999999999999
18,"9,900$",0.8,1,0.0,0.0,0.1,0.05,0.15,0.2,0.45,0.05,1.0
19,"10,000$",0.7,0,0.05,0.05,0.05,0.1,0.15,0.3,0.1,0.2,1.0
20,"9,000$",0.7,0,0.05,0.1,0.1,0.1,0.3,0.05,0.1,0.2,1.0
21,"10,000$",0.5,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,1.0
22,"10,000$",0.9,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,1.0
23,"10,000$",0.5,0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,1.0
24,100$,0.5,0,0.05,0.2,0.15,0.1,0.15,0.15,0.1,0.1,1.0
25,100$,0.5,0,0.1,0.15,0.1,0.1,0.1,0.1,0.1,0.25,0.9999999999999999
26,"9,900$",0.5,1,0.25,0.25,0.0,0.0,0.0,0.05,0.4,0.05,1.0
27,"7,000$",0.9,0,0.15,0.15,0.15,0.1,0.15,0.1,0.1,0.1,0.9999999999999999
28,0$,1.0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,"9,900$",0.2,1,0.1,0.15,0.08,0.08,0.12,0.09,0.14,0.24,1.0
30,"10,000$",1.0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,1.0
31,100$,0.5,0,0.2,0.2,0.1,0.1,0.1,0.05,0.1,0.15,1.0
32,"10,000$",1.0,0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.85,1.0
33,"5,000$",0.6,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0
34,"9,900$",0.9,1,0.05,0.05,0.25,0.05,0.05,0.15,0.35,0.05,1.0
35,"9,000$",0.3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
36,"9,900$",0.7,1,0.0,0.0,0.0,0.0,0.2,0.2,0.35,0.25,1.0
37,"10,000$",0.8,0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,1.0
38,"9,800$",0.5,0,0.0,0.0,0.2,0.25,0.15,0.4,0.0,0.0,1.0
39,"9,900$",0.2,1,0.0,0.0,0.1,0.1,0.3,0.2,0.3,0.0,1.0
40,"9,900$",0.5,1,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0,1.0
41,0$,0.1,0,0.5,0.1,0.05,0.1,0.1,0.05,0.05,0.05,1.0
42,"5,000$",0.5,0,0.1,0.1,0.2,0.15,0.2,0.1,0.1,0.05,1.0
43,100$,0.4,0,0.0,0.5,0.1,0.05,0.05,0.1,0.1,0.1,1.0
44,"5,000$",0.8,0,0.05,0.25,0.45,0.05,0.05,0.05,0.05,0.05,1.0000000000000002
45,"9,000$",0.7,0,0.05,0.05,0.05,0.1,0.5,0.1,0.1,0.05,1.0
46,100$,0.4,0,0.15,0.35,0.05,0.05,0.1,0.1,0.05,0.15,1.0
47,"5,000$",0.5,0,0.0,0.0,0.5,0.15,0.15,0.1,0.1,0.0,1.0
48,"5,000$",0.4,0,0.05,0.05,0.65,0.05,0.05,0.05,0.05,0.05,1.0000000000000002
49,"9,000$",0.7,0,0.0,0.1,0.2,0.1,0.1,0.15,0.15,0.2,1.0
50,"10,000$",0.1,0,0.1,0.25,0.15,0.0,0.0,0.0,0.0,0.5,1.0
51,"9,900$",1.0,1,0.0,0.0,0.0,0.0,0.35,0.0,0.65,0.0,1.0
52,"9,900$",0.2,1,0.0,0.05,0.1,0.15,0.15,0.15,0.35,0.05,1.0
53,"7,000$",0.1,0,0.15,0.35,0.05,0.05,0.15,0.1,0.05,0.1,1.0000000000000002
54,"9,900$",0.7,1,0.1,0.1,0.1,0.05,0.15,0.1,0.4,0.0,1.0
55,"9,900$",0.9,1,0.05,0.05,0.15,0.05,0.15,0.15,0.3,0.1,0.9999999999999999
56,"5,000$",0.4,0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.3,1.0
57,"9,800$",0.1,0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.1,1.0
58,"7,000$",0.5,0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,1.0
59,"9,900$",0.1,1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,1.0
60,100$,1.0,0,0.1,0.3,0.15,0.1,0.1,0.1,0.05,0.1,1.0
61,"9,900$",0.1,1,0.2,0.2,0.1,0.1,0.1,0.1,0.05,0.15,1.0
62,"9,900$",0.8,1,0.0,0.0,0.3,0.0,0.0,0.0,0.4,0.3,1.0
63,"10,000$",0.8,0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.85,1.0
