,Answer,Confidence,Class,0,1,5,There is no way to know without additional information.,sum_prediction
0,There is no way to know without additional information.,0.8,0,0.0,0.2,0.1,0.7,1.0
1,5,0.5,0,0.05,0.25,0.5,0.2,1.0
2,1,0.5,0,0.0,0.5,0.2,0.3,1.0
3,1,0.3,0,0.05,0.4,0.15,0.4,1.0
4,5,0.6,0,0.15,0.15,0.45,0.25,1.0
5,1,1.0,0,0.1,0.8,0.1,0.0,1.0
6,5,0.8,0,0.2,0.4,0.4,0.0,1.0
7,5,0.5,0,0.05,0.1,0.5,0.35,1.0
8,5,0.8,0,0.0,0.1,0.85,0.05,1.0
9,1,1.0,0,0.1,0.7,0.1,0.1,0.9999999999999999
10,1,0.7,0,0.0,0.95,0.0,0.05,1.0
11,5,0.8,0,0.2,0.25,0.35,0.2,1.0
12,5,0.6,0,0.1,0.25,0.4,0.25,1.0
13,5,1.0,0,0.3,0.25,0.25,0.2,1.0
14,5,0.6,0,0.1,0.25,0.5,0.15,1.0
15,There is no way to know without additional information.,0.3,0,0.15,0.2,0.2,0.45,1.0
16,5,0.8,0,0.1,0.3,0.55,0.05,1.0
17,There is no way to know without additional information.,0.5,0,0.0,0.5,0.5,0.0,1.0
18,1,0.9,0,0.3,0.3,0.3,0.1,0.9999999999999999
19,There is no way to know without additional information.,1.0,0,0.0,0.0,0.25,0.75,1.0
20,1,0.4,0,0.4,0.25,0.25,0.1,1.0
21,There is no way to know without additional information.,0.6,0,0.2,0.2,0.3,0.3,1.0
22,5,0.8,0,0.3,0.25,0.45,0.0,1.0
23,There is no way to know without additional information.,0.8,0,0.05,0.2,0.35,0.4,1.0
24,5,0.9,0,0.15,0.35,0.5,0.0,1.0
25,5,0.3,0,0.3,0.3,0.3,0.1,0.9999999999999999
26,There is no way to know without additional information.,0.7,0,0.1,0.2,0.3,0.4,1.0
27,1,0.5,0,0.1,0.8,0.1,0.0,1.0
28,There is no way to know without additional information.,1.0,0,0.0,0.0,0.05,0.95,1.0
29,There is no way to know without additional information.,1.0,0,0.1,0.05,0.05,0.8,1.0
30,There is no way to know without additional information.,0.5,0,0.0,0.25,0.25,0.5,1.0
31,0,0.8,1,0.3,0.1,0.25,0.35,1.0
32,There is no way to know without additional information.,1.0,0,0.1,0.25,0.3,0.35,0.9999999999999999
33,5,0.7,0,0.2,0.2,0.5,0.1,1.0
34,0,0.5,1,0.25,0.25,0.25,0.25,1.0
35,0,1.0,1,0.75,0.1,0.1,0.05,1.0
36,0,0.7,1,0.7,0.15,0.1,0.05,1.0
37,There is no way to know without additional information.,0.5,0,0.0,0.5,0.0,0.5,1.0
38,There is no way to know without additional information.,0.9,0,0.0,0.5,0.0,0.5,1.0
39,5,0.8,0,0.0,0.25,0.75,0.0,1.0
40,5,1.0,0,0.0,0.0,0.0,1.0,1.0
41,5,0.8,0,0.1,0.3,0.55,0.05,1.0
42,There is no way to know without additional information.,0.8,0,0.1,0.1,0.2,0.6,1.0
43,1,0.6,0,0.15,0.5,0.2,0.15,1.0
44,5,0.5,0,0.1,0.2,0.5,0.2,1.0
45,0,0.8,1,0.35,0.3,0.15,0.2,1.0
46,0,0.8,1,0.6,0.15,0.15,0.1,1.0
47,5,0.8,0,0.2,0.4,0.3,0.1,1.0000000000000002
48,There is no way to know without additional information.,1.0,0,0.15,0.25,0.2,0.4,1.0
49,There is no way to know without additional information.,0.2,0,0.0,0.3,0.0,0.7,1.0
50,There is no way to know without additional information.,1.0,0,0.0,0.1,0.15,0.75,1.0
51,There is no way to know without additional information.,1.0,0,0.05,0.05,0.05,0.85,1.0
52,0,0.8,1,0.5,0.15,0.15,0.2,1.0
53,5,0.9,0,0.0,0.4,0.6,0.0,1.0
54,0,1.0,1,0.6,0.05,0.05,0.3,1.0
55,There is no way to know without additional information.,0.1,0,0.15,0.15,0.15,0.55,1.0
56,1,0.5,0,0.0,0.5,0.2,0.3,1.0
57,There is no way to know without additional information.,0.1,0,0.1,0.2,0.2,0.5,1.0
58,5,1.0,0,0.2,0.25,0.55,0.0,1.0
59,5,0.8,0,0.05,0.3,0.35,0.3,1.0
60,There is no way to know without additional information.,0.6,0,0.0,0.25,0.5,0.25,1.0
61,There is no way to know without additional information.,0.8,0,0.1,0.2,0.1,0.6,1.0
62,0,0.5,1,0.4,0.25,0.15,0.2,1.0
63,There is no way to know without additional information.,0.5,0,0.25,0.2,0.2,0.35,1.0
64,There is no way to know without additional information.,0.8,0,0.1,0.5,0.3,0.1,0.9999999999999999
65,1,0.4,0,0.05,0.6,0.15,0.2,1.0
66,There is no way to know without additional information.,1.0,0,0.0,0.0,0.0,1.0,1.0
67,There is no way to know without additional information.,0.9,0,0.0,0.05,0.05,0.9,1.0
68,0,0.3,1,0.25,0.25,0.3,0.2,1.0
69,5,0.8,0,0.1,0.05,0.45,0.4,1.0
