,Answer,Confidence,Class,12.5,33,37.5,50,62.5,87.5,100,sum_prediction
0,12.5,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,12.5,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,12.5,0.9,0,0.55,0.0,0.0,0.1,0.15,0.1,0.1,1.0
3,62.5,0.2,0,0.0,0.0,0.0,0.0,0.35,0.35,0.3,1.0
4,37.5,0.7,0,0.15,0.2,0.25,0.1,0.1,0.1,0.1,0.9999999999999999
5,37.5,1.0,0,0.0,0.0,0.85,0.15,0.0,0.0,0.0,1.0
6,87.5,0.9,1,0.05,0.05,0.1,0.2,0.0,0.6,0.0,1.0
7,37.5,0.7,0,0.0,0.2,0.3,0.4,0.0,0.0,0.1,1.0
8,87.5,0.8,1,0.15,0.2,0.1,0.15,0.0,0.3,0.1,0.9999999999999999
9,50.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10,12.5,0.4,0,0.6,0.05,0.1,0.15,0.05,0.05,0.0,1.0
11,37.5,0.2,0,0.15,0.2,0.25,0.15,0.1,0.1,0.05,1.0
12,37.5,0.5,0,0.2,0.2,0.2,0.15,0.1,0.05,0.1,1.0000000000000002
13,50.0,0.5,0,0.2,0.2,0.2,0.15,0.05,0.1,0.1,1.0000000000000002
14,33.0,0.9,0,0.1,0.5,0.05,0.05,0.1,0.1,0.1,1.0
15,100.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,1.0
16,87.5,0.9,1,0.0,0.0,0.0,0.55,0.0,0.2,0.25,1.0
17,37.5,0.5,0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,1.0
18,33.0,0.5,0,0.2,0.15,0.1,0.1,0.1,0.15,0.2,1.0
19,100.0,0.8,0,0.0,0.3,0.0,0.1,0.1,0.0,0.5,1.0
20,50.0,0.5,0,0.0,0.15,0.55,0.3,0.0,0.0,0.0,1.0
21,33.0,0.8,0,0.1,0.35,0.15,0.4,0.0,0.0,0.0,1.0
22,87.5,0.5,1,0.05,0.3,0.1,0.4,0.05,0.05,0.05,1.0
23,33.0,0.6,0,0.0,0.65,0.0,0.35,0.0,0.0,0.0,1.0
24,87.5,0.9,1,0.0,0.05,0.15,0.3,0.15,0.2,0.15,1.0
25,50.0,0.6,0,0.1,0.1,0.1,0.4,0.1,0.1,0.1,1.0
26,12.5,1.0,0,0.45,0.15,0.1,0.15,0.1,0.05,0.0,1.0
27,87.5,0.7,1,0.0,0.2,0.0,0.3,0.0,0.2,0.3,1.0
28,87.5,1.0,1,0.3,0.1,0.05,0.05,0.0,0.5,0.0,1.0
29,33.0,0.5,0,0.05,0.6,0.05,0.05,0.1,0.1,0.05,1.0
30,33.0,0.5,0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,1.0
31,87.5,1.0,1,0.05,0.1,0.1,0.25,0.15,0.3,0.05,1.0
32,87.5,0.6,1,0.05,0.05,0.05,0.1,0.2,0.5,0.05,1.0
33,87.5,0.9,1,0.0,0.0,0.0,0.0,0.0,0.9,0.1,1.0
34,33.0,0.7,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0
35,50.0,0.6,0,0.1,0.1,0.1,0.3,0.2,0.2,0.0,1.0
36,33.0,0.2,0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,1.0
37,50.0,0.4,0,0.0,0.25,0.0,0.45,0.3,0.0,0.0,1.0
38,87.5,0.9,1,0.0,0.0,0.0,0.15,0.3,0.55,0.0,1.0
39,87.5,0.7,1,0.0,0.1,0.1,0.1,0.1,0.6,0.0,1.0
40,33.0,0.8,0,0.5,0.2,0.1,0.05,0.05,0.05,0.05,1.0
41,87.5,1.0,1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,1.0
42,87.5,1.0,1,0.0,0.4,0.0,0.2,0.0,0.4,0.0,1.0
43,12.5,0.8,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,12.5,0.8,0,0.8,0.1,0.0,0.1,0.0,0.0,0.0,1.0
45,87.5,1.0,1,0.4,0.1,0.0,0.05,0.0,0.4,0.05,1.0
46,37.5,0.5,0,0.1,0.2,0.3,0.1,0.1,0.1,0.1,1.0
47,87.5,0.3,1,0.1,0.2,0.15,0.15,0.2,0.15,0.05,1.0
48,37.5,0.4,0,0.15,0.15,0.15,0.15,0.15,0.15,0.1,1.0
49,33.0,0.1,0,0.15,0.5,0.2,0.1,0.05,0.0,0.0,1.0
50,50.0,0.9,0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,1.0
51,33.0,0.9,0,0.05,0.65,0.05,0.1,0.05,0.05,0.05,1.0000000000000002
52,87.5,0.8,1,0.0,0.35,0.0,0.25,0.0,0.4,0.0,1.0
53,87.5,0.4,1,0.05,0.1,0.1,0.1,0.2,0.35,0.1,1.0
54,50.0,0.5,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0
55,33.0,0.7,0,0.1,0.35,0.15,0.1,0.1,0.1,0.1,0.9999999999999999
56,87.5,1.0,1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0
57,50.0,0.7,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0
58,12.5,0.4,0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,1.0
59,62.5,0.3,0,0.1,0.15,0.15,0.05,0.2,0.15,0.2,1.0
60,62.5,0.5,0,0.15,0.15,0.1,0.1,0.3,0.1,0.1,1.0
61,33.0,1.0,0,0.05,0.65,0.05,0.1,0.05,0.05,0.05,1.0000000000000002
62,50.0,0.3,0,0.0,0.3,0.15,0.4,0.15,0.0,0.0,1.0
63,12.5,0.8,0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,1.0
64,87.5,0.7,1,0.0,0.0,0.1,0.5,0.0,0.4,0.0,1.0
65,62.5,0.2,0,0.0,0.05,0.1,0.25,0.5,0.1,0.0,1.0
66,50.0,1.0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0
67,33.0,0.5,0,0.2,0.2,0.25,0.2,0.15,0.0,0.0,1.0
68,37.5,0.7,0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0
69,100.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
70,50.0,0.1,0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1.0
71,12.5,1.0,0,0.65,0.1,0.05,0.05,0.05,0.05,0.05,1.0000000000000002
72,50.0,0.1,0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,1.0
73,33.0,0.5,0,0.0,0.6,0.2,0.0,0.1,0.1,0.0,1.0
74,50.0,0.8,0,0.05,0.05,0.1,0.4,0.3,0.05,0.05,1.0000000000000002
75,33.0,0.8,0,0.05,0.55,0.05,0.1,0.1,0.1,0.05,1.0
76,87.5,0.4,1,0.0,0.1,0.1,0.4,0.3,0.1,0.0,1.0000000000000002
77,50.0,1.0,0,0.2,0.1,0.15,0.15,0.15,0.25,0.0,1.0
78,87.5,0.8,1,0.1,0.1,0.1,0.15,0.2,0.3,0.05,1.0000000000000002
79,50.0,0.7,0,0.0,0.1,0.1,0.6,0.15,0.05,0.0,1.0
80,50.0,1.0,0,0.0,0.2,0.05,0.5,0.2,0.05,0.0,1.0
81,33.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
82,87.5,1.0,1,0.0,0.0,0.0,0.35,0.2,0.35,0.1,1.0
83,87.5,0.5,1,0.0,0.0,0.0,0.25,0.25,0.4,0.1,1.0
84,87.5,0.7,1,0.05,0.05,0.1,0.35,0.2,0.2,0.05,1.0
85,50.0,0.5,0,0.0,0.25,0.2,0.5,0.05,0.0,0.0,1.0
86,33.0,0.5,0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,1.0
87,87.5,0.9,1,0.3,0.15,0.1,0.1,0.05,0.25,0.05,1.0
88,50.0,0.9,0,0.0,0.05,0.05,0.8,0.05,0.05,0.0,1.0
89,87.5,1.0,1,0.1,0.15,0.0,0.05,0.1,0.6,0.0,1.0
90,62.5,0.6,0,0.0,0.0,0.25,0.1,0.35,0.3,0.0,1.0
91,87.5,0.5,1,0.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0
92,50.0,0.9,0,0.25,0.25,0.05,0.2,0.05,0.05,0.15,1.0
93,50.0,0.9,0,0.05,0.0,0.05,0.8,0.05,0.05,0.0,1.0
94,50.0,0.1,0,0.05,0.25,0.0,0.5,0.1,0.05,0.05,1.0
95,33.0,0.7,0,0.1,0.25,0.25,0.2,0.15,0.05,0.0,1.0
96,100.0,0.2,0,0.1,0.5,0.05,0.1,0.05,0.05,0.15,1.0
